Country,Date,Recovered
Brazil,2020-06-06,277150
Brazil,2020-06-07,283953
Brazil,2020-06-08,378258
Brazil,2020-06-09,396738
Brazil,2020-06-10,413917
Brazil,2020-06-11,429966
Brazil,2020-06-12,445124
Brazil,2020-06-13,459437
Brazil,2020-06-14,469142
Brazil,2020-06-15,477710
Brazil,2020-06-16,490006
Brazil,2020-06-17,521047
Brazil,2020-06-18,534581
Brazil,2020-06-19,551632
Brazil,2020-06-20,576780
Brazil,2020-06-21,588119
Brazil,2020-06-22,601737
Brazil,2020-06-23,627964
Brazil,2020-06-24,660470
Brazil,2020-06-25,679525
Brazil,2020-06-26,702400
Brazil,2020-06-27,727716
Germany,2020-01-22,1
Germany,2020-01-23,1
Germany,2020-01-24,1
Germany,2020-01-25,1
Germany,2020-01-26,1
Germany,2020-01-27,1
Germany,2020-01-28,1
Germany,2020-01-29,1
Germany,2020-01-30,1
Germany,2020-01-31,1
Germany,2020-02-01,1
Germany,2020-02-02,1
Germany,2020-02-03,1
Germany,2020-02-04,1
Germany,2020-02-05,1
Germany,2020-02-06,1
Germany,2020-02-07,1
Germany,2020-02-08,1
Germany,2020-02-09,1
Germany,2020-02-10,1
Germany,2020-02-11,1
Germany,2020-02-12,1
Germany,2020-02-13,2
Germany,2020-02-14,2
Germany,2020-02-15,2
Germany,2020-02-16,2
Germany,2020-02-17,2
Germany,2020-02-18,13
Germany,2020-02-19,13
Germany,2020-02-20,13
Germany,2020-02-21,15
Germany,2020-02-22,15
Germany,2020-02-23,15
Germany,2020-02-24,15
Germany,2020-02-25,15
Germany,2020-02-26,16
Germany,2020-02-27,17
Germany,2020-02-28,17
Germany,2020-02-29,17
Germany,2020-03-01,17
Germany,2020-03-02,17
Germany,2020-03-03,17
Germany,2020-03-04,17
Germany,2020-03-05,17
Germany,2020-03-06,18
Germany,2020-03-07,19
Germany,2020-03-08,19
Germany,2020-03-09,19
Germany,2020-03-10,19
Germany,2020-03-11,26
Germany,2020-03-12,26
Germany,2020-03-13,47
Germany,2020-03-14,47
Germany,2020-03-15,47
Germany,2020-03-16,68
Germany,2020-03-17,68
Germany,2020-03-18,106
Germany,2020-03-19,114
Germany,2020-03-20,181
Germany,2020-03-21,234
Germany,2020-03-22,267
Germany,2020-03-23,267
Germany,2020-03-24,3244
Germany,2020-03-25,3548
Germany,2020-03-26,5674
Germany,2020-03-27,6659
Germany,2020-03-28,8482
Germany,2020-03-29,9212
Germany,2020-03-30,13501
Germany,2020-03-31,16101
Germany,2020-04-01,18701
Germany,2020-04-02,22441
Germany,2020-04-03,24576
Germany,2020-04-04,26401
Germany,2020-04-05,28701
Germany,2020-04-06,28701
Germany,2020-04-07,36082
Germany,2020-04-08,46301
Germany,2020-04-09,52408
Germany,2020-04-10,53914
Germany,2020-04-11,57401
Germany,2020-04-12,60301
Germany,2020-04-13,64301
Germany,2020-04-14,68201
Germany,2020-04-15,72601
Germany,2020-04-16,77001
Germany,2020-04-17,83115
Germany,2020-04-18,85401
Germany,2020-04-19,88001
Germany,2020-04-20,91501
Germany,2020-04-21,95201
Germany,2020-04-22,99401
Germany,2020-04-23,103301
Germany,2020-04-24,109801
Germany,2020-04-25,109801
Germany,2020-04-26,112001
Germany,2020-04-27,114501
Germany,2020-04-28,117401
Germany,2020-04-29,120401
Germany,2020-04-30,123501
Germany,2020-05-01,126901
Germany,2020-05-02,129001
Germany,2020-05-03,130601
Germany,2020-05-04,132701
Germany,2020-05-05,135101
Germany,2020-05-06,139901
Germany,2020-05-07,141701
Germany,2020-05-08,141701
Germany,2020-05-09,143301
Germany,2020-05-10,144401
Germany,2020-05-11,145618
Germany,2020-05-12,147201
Germany,2020-05-13,148701
Germany,2020-05-14,150301
Germany,2020-05-15,151598
Germany,2020-05-16,152601
Germany,2020-05-17,154012
Germany,2020-05-18,155042
Germany,2020-05-19,155682
Germany,2020-05-20,156967
Germany,2020-05-21,158088
Germany,2020-05-22,159065
Germany,2020-05-23,159717
Germany,2020-05-24,160282
Germany,2020-05-25,161200
Germany,2020-05-26,161968
Germany,2020-05-27,162821
Germany,2020-05-28,163361
Germany,2020-05-29,164246
Germany,2020-05-30,164909
Germany,2020-05-31,165353
Germany,2020-06-01,165633
Germany,2020-06-02,166610
Germany,2020-06-03,167454
Germany,2020-06-04,167910
Germany,2020-06-05,168481
Germany,2020-06-06,168959
Germany,2020-06-07,169225
Germany,2020-06-08,169557
Germany,2020-06-09,170130
Germany,2020-06-10,170631
Germany,2020-06-11,170962
Germany,2020-06-12,171536
Germany,2020-06-13,171971
Germany,2020-06-14,172090
Germany,2020-06-15,172693
Germany,2020-06-16,172843
Germany,2020-06-17,173600
Germany,2020-06-18,173848
Germany,2020-06-19,173973
Germany,2020-06-20,174610
Germany,2020-06-21,174741
Germany,2020-06-22,175144
Germany,2020-06-23,175826
Germany,2020-06-24,176423
Germany,2020-06-25,176765
Germany,2020-06-26,177150
Germany,2020-06-27,177519
Italy,2020-01-22,1
Italy,2020-01-23,1
Italy,2020-01-24,1
Italy,2020-01-25,1
Italy,2020-01-26,1
Italy,2020-01-27,1
Italy,2020-01-28,1
Italy,2020-01-29,1
Italy,2020-01-30,1
Italy,2020-01-31,1
Italy,2020-02-01,1
Italy,2020-02-02,1
Italy,2020-02-03,1
Italy,2020-02-04,1
Italy,2020-02-05,1
Italy,2020-02-06,1
Italy,2020-02-07,1
Italy,2020-02-08,1
Italy,2020-02-09,1
Italy,2020-02-10,1
Italy,2020-02-11,1
Italy,2020-02-12,1
Italy,2020-02-13,1
Italy,2020-02-14,1
Italy,2020-02-15,1
Italy,2020-02-16,1
Italy,2020-02-17,1
Italy,2020-02-18,1
Italy,2020-02-19,1
Italy,2020-02-20,1
Italy,2020-02-21,1
Italy,2020-02-22,2
Italy,2020-02-23,3
Italy,2020-02-24,2
Italy,2020-02-25,2
Italy,2020-02-26,4
Italy,2020-02-27,46
Italy,2020-02-28,47
Italy,2020-02-29,47
Italy,2020-03-01,84
Italy,2020-03-02,150
Italy,2020-03-03,161
Italy,2020-03-04,277
Italy,2020-03-05,415
Italy,2020-03-06,524
Italy,2020-03-07,590
Italy,2020-03-08,623
Italy,2020-03-09,725
Italy,2020-03-10,725
Italy,2020-03-11,1046
Italy,2020-03-12,1046
Italy,2020-03-13,1440
Italy,2020-03-14,1967
Italy,2020-03-15,2336
Italy,2020-03-16,2750
Italy,2020-03-17,2942
Italy,2020-03-18,4026
Italy,2020-03-19,4441
Italy,2020-03-20,4441
Italy,2020-03-21,6073
Italy,2020-03-22,7025
Italy,2020-03-23,7025
Italy,2020-03-24,8327
Italy,2020-03-25,9363
Italy,2020-03-26,10362
Italy,2020-03-27,10951
Italy,2020-03-28,12385
Italy,2020-03-29,13031
Italy,2020-03-30,14621
Italy,2020-03-31,15730
Italy,2020-04-01,16848
Italy,2020-04-02,18279
Italy,2020-04-03,19759
Italy,2020-04-04,20997
Italy,2020-04-05,21816
Italy,2020-04-06,22838
Italy,2020-04-07,24393
Italy,2020-04-08,26492
Italy,2020-04-09,28471
Italy,2020-04-10,30456
Italy,2020-04-11,32535
Italy,2020-04-12,34212
Italy,2020-04-13,35436
Italy,2020-04-14,37131
Italy,2020-04-15,38093
Italy,2020-04-16,40165
Italy,2020-04-17,42728
Italy,2020-04-18,44928
Italy,2020-04-19,47056
Italy,2020-04-20,48878
Italy,2020-04-21,51601
Italy,2020-04-22,54544
Italy,2020-04-23,57577
Italy,2020-04-24,60499
Italy,2020-04-25,63121
Italy,2020-04-26,64929
Italy,2020-04-27,66625
Italy,2020-04-28,68942
Italy,2020-04-29,71253
Italy,2020-04-30,75946
Italy,2020-05-01,78250
Italy,2020-05-02,79915
Italy,2020-05-03,81655
Italy,2020-05-04,82880
Italy,2020-05-05,85232
Italy,2020-05-06,93246
Italy,2020-05-07,96277
Italy,2020-05-08,99024
Italy,2020-05-09,103032
Italy,2020-05-10,105187
Italy,2020-05-11,106588
Italy,2020-05-12,109040
Italy,2020-05-13,112542
Italy,2020-05-14,115289
Italy,2020-05-15,120206
Italy,2020-05-16,122811
Italy,2020-05-17,125177
Italy,2020-05-18,127327
Italy,2020-05-19,129402
Italy,2020-05-20,132283
Italy,2020-05-21,134561
Italy,2020-05-22,136721
Italy,2020-05-23,138841
Italy,2020-05-24,140480
Italy,2020-05-25,141982
Italy,2020-05-26,144659
Italy,2020-05-27,147102
Italy,2020-05-28,150605
Italy,2020-05-29,152845
Italy,2020-05-30,155634
Italy,2020-05-31,157508
Italy,2020-06-01,158356
Italy,2020-06-02,160093
Italy,2020-06-03,160939
Italy,2020-06-04,161896
Italy,2020-06-05,163782
Italy,2020-06-06,165079
Italy,2020-06-07,165838
Italy,2020-06-08,166585
Italy,2020-06-09,168647
Italy,2020-06-10,169940
Italy,2020-06-11,171339
Italy,2020-06-12,173086
Italy,2020-06-13,174866
Italy,2020-06-14,176371
Italy,2020-06-15,177011
Italy,2020-06-16,178527
Italy,2020-06-17,179456
Italy,2020-06-18,180545
Italy,2020-06-19,181908
Italy,2020-06-20,182454
Italy,2020-06-21,182894
Italy,2020-06-22,183427
Italy,2020-06-23,184586
Italy,2020-06-24,186112
Italy,2020-06-25,186726
Italy,2020-06-26,187616
Italy,2020-06-27,188585
Spain,2020-01-22,1
Spain,2020-01-23,1
Spain,2020-01-24,1
Spain,2020-01-25,1
Spain,2020-01-26,1
Spain,2020-01-27,1
Spain,2020-01-28,1
Spain,2020-01-29,1
Spain,2020-01-30,1
Spain,2020-01-31,1
Spain,2020-02-01,1
Spain,2020-02-02,1
Spain,2020-02-03,1
Spain,2020-02-04,1
Spain,2020-02-05,1
Spain,2020-02-06,1
Spain,2020-02-07,1
Spain,2020-02-08,1
Spain,2020-02-09,1
Spain,2020-02-10,1
Spain,2020-02-11,1
Spain,2020-02-12,1
Spain,2020-02-13,1
Spain,2020-02-14,1
Spain,2020-02-15,3
Spain,2020-02-16,3
Spain,2020-02-17,3
Spain,2020-02-18,3
Spain,2020-02-19,3
Spain,2020-02-20,3
Spain,2020-02-21,3
Spain,2020-02-22,3
Spain,2020-02-23,3
Spain,2020-02-24,3
Spain,2020-02-25,3
Spain,2020-02-26,3
Spain,2020-02-27,3
Spain,2020-02-28,3
Spain,2020-02-29,3
Spain,2020-03-01,3
Spain,2020-03-02,3
Spain,2020-03-03,3
Spain,2020-03-04,3
Spain,2020-03-05,3
Spain,2020-03-06,3
Spain,2020-03-07,31
Spain,2020-03-08,31
Spain,2020-03-09,33
Spain,2020-03-10,33
Spain,2020-03-11,184
Spain,2020-03-12,184
Spain,2020-03-13,194
Spain,2020-03-14,518
Spain,2020-03-15,518
Spain,2020-03-16,531
Spain,2020-03-17,1029
Spain,2020-03-18,1082
Spain,2020-03-19,1108
Spain,2020-03-20,1589
Spain,2020-03-21,2126
Spain,2020-03-22,2576
Spain,2020-03-23,2576
Spain,2020-03-24,3795
Spain,2020-03-25,5368
Spain,2020-03-26,7016
Spain,2020-03-27,9358
Spain,2020-03-28,12286
Spain,2020-03-29,14710
Spain,2020-03-30,16781
Spain,2020-03-31,19260
Spain,2020-04-01,22648
Spain,2020-04-02,26744
Spain,2020-04-03,30514
Spain,2020-04-04,34220
Spain,2020-04-05,38081
Spain,2020-04-06,40438
Spain,2020-04-07,43209
Spain,2020-04-08,48022
Spain,2020-04-09,52166
Spain,2020-04-10,55669
Spain,2020-04-11,59110
Spain,2020-04-12,62392
Spain,2020-04-13,64728
Spain,2020-04-14,67505
Spain,2020-04-15,70854
Spain,2020-04-16,74798
Spain,2020-04-17,74798
Spain,2020-04-18,74798
Spain,2020-04-19,77358
Spain,2020-04-20,80588
Spain,2020-04-21,82515
Spain,2020-04-22,85916
Spain,2020-04-23,89251
Spain,2020-04-24,92356
Spain,2020-04-25,95709
Spain,2020-04-26,98373
Spain,2020-04-27,100876
Spain,2020-04-28,102549
Spain,2020-04-29,108948
Spain,2020-04-30,112051
Spain,2020-05-01,112051
Spain,2020-05-02,117249
Spain,2020-05-03,118903
Spain,2020-05-04,121344
Spain,2020-05-05,123487
Spain,2020-05-06,126003
Spain,2020-05-07,128512
Spain,2020-05-08,131149
Spain,2020-05-09,133953
Spain,2020-05-10,136167
Spain,2020-05-11,137140
Spain,2020-05-12,138981
Spain,2020-05-13,140824
Spain,2020-05-14,143375
Spain,2020-05-15,144784
Spain,2020-05-16,146447
Spain,2020-05-17,146447
Spain,2020-05-18,150377
Spain,2020-05-19,150377
Spain,2020-05-20,150377
Spain,2020-05-21,150377
Spain,2020-05-22,150377
Spain,2020-05-23,150377
Spain,2020-05-24,150377
Spain,2020-05-25,150377
Spain,2020-05-26,150377
Spain,2020-05-27,150377
Spain,2020-05-28,150377
Spain,2020-05-29,150377
Spain,2020-05-30,150377
Spain,2020-05-31,150377
Spain,2020-06-01,150377
Spain,2020-06-02,150377
Spain,2020-06-03,150377
Spain,2020-06-04,150377
Spain,2020-06-05,150377
Spain,2020-06-06,150377
Spain,2020-06-07,150377
Spain,2020-06-08,150377
Spain,2020-06-09,150377
Spain,2020-06-10,150377
Spain,2020-06-11,150377
Spain,2020-06-12,150377
Spain,2020-06-13,150377
Spain,2020-06-14,150377
Spain,2020-06-15,150377
Spain,2020-06-16,150377
Spain,2020-06-17,150377
Spain,2020-06-18,150377
Spain,2020-06-19,150377
Spain,2020-06-20,150377
Spain,2020-06-21,150377
Spain,2020-06-22,150377
Spain,2020-06-23,150377
Spain,2020-06-24,150377
Spain,2020-06-25,150377
Spain,2020-06-26,150377
Spain,2020-06-27,150377
United Kingdom,2020-01-22,1
United Kingdom,2020-01-23,1
United Kingdom,2020-01-24,1
United Kingdom,2020-01-25,1
United Kingdom,2020-01-26,1
United Kingdom,2020-01-27,1
United Kingdom,2020-01-28,1
United Kingdom,2020-01-29,1
United Kingdom,2020-01-30,1
United Kingdom,2020-01-31,1
United Kingdom,2020-02-01,1
United Kingdom,2020-02-02,1
United Kingdom,2020-02-03,1
United Kingdom,2020-02-04,1
United Kingdom,2020-02-05,1
United Kingdom,2020-02-06,1
United Kingdom,2020-02-07,1
United Kingdom,2020-02-08,1
United Kingdom,2020-02-09,1
United Kingdom,2020-02-10,1
United Kingdom,2020-02-11,1
United Kingdom,2020-02-12,2
United Kingdom,2020-02-13,2
United Kingdom,2020-02-14,2
United Kingdom,2020-02-15,2
United Kingdom,2020-02-16,9
United Kingdom,2020-02-17,9
United Kingdom,2020-02-18,9
United Kingdom,2020-02-19,9
United Kingdom,2020-02-20,9
United Kingdom,2020-02-21,9
United Kingdom,2020-02-22,9
United Kingdom,2020-02-23,9
United Kingdom,2020-02-24,9
United Kingdom,2020-02-25,9
United Kingdom,2020-02-26,9
United Kingdom,2020-02-27,9
United Kingdom,2020-02-28,9
United Kingdom,2020-02-29,9
United Kingdom,2020-03-01,9
United Kingdom,2020-03-02,9
United Kingdom,2020-03-03,9
United Kingdom,2020-03-04,9
United Kingdom,2020-03-05,9
United Kingdom,2020-03-06,9
United Kingdom,2020-03-07,19
United Kingdom,2020-03-08,19
United Kingdom,2020-03-09,19
United Kingdom,2020-03-10,20
United Kingdom,2020-03-11,20
United Kingdom,2020-03-12,20
United Kingdom,2020-03-13,20
United Kingdom,2020-03-14,20
United Kingdom,2020-03-15,20
United Kingdom,2020-03-16,22
United Kingdom,2020-03-17,54
United Kingdom,2020-03-18,69
United Kingdom,2020-03-19,69
United Kingdom,2020-03-20,69
United Kingdom,2020-03-21,69
United Kingdom,2020-03-22,68
United Kingdom,2020-03-23,68
United Kingdom,2020-03-24,141
United Kingdom,2020-03-25,141
United Kingdom,2020-03-26,151
United Kingdom,2020-03-27,152
United Kingdom,2020-03-28,152
United Kingdom,2020-03-29,152
United Kingdom,2020-03-30,172
United Kingdom,2020-03-31,180
United Kingdom,2020-04-01,180
United Kingdom,2020-04-02,193
United Kingdom,2020-04-03,209
United Kingdom,2020-04-04,216
United Kingdom,2020-04-05,230
United Kingdom,2020-04-06,288
United Kingdom,2020-04-07,326
United Kingdom,2020-04-08,346
United Kingdom,2020-04-09,360
United Kingdom,2020-04-10,589
United Kingdom,2020-04-11,623
United Kingdom,2020-04-12,627
United Kingdom,2020-04-13,305
United Kingdom,2020-04-14,324
United Kingdom,2020-04-15,369
United Kingdom,2020-04-16,376
United Kingdom,2020-04-17,395
United Kingdom,2020-04-18,415
United Kingdom,2020-04-19,437
United Kingdom,2020-04-20,447
United Kingdom,2020-04-21,639
United Kingdom,2020-04-22,684
United Kingdom,2020-04-23,713
United Kingdom,2020-04-24,725
United Kingdom,2020-04-25,775
United Kingdom,2020-04-26,779
United Kingdom,2020-04-27,808
United Kingdom,2020-04-28,814
United Kingdom,2020-04-29,858
United Kingdom,2020-04-30,860
United Kingdom,2020-05-01,893
United Kingdom,2020-05-02,897
United Kingdom,2020-05-03,902
United Kingdom,2020-05-04,911
United Kingdom,2020-05-05,927
United Kingdom,2020-05-06,935
United Kingdom,2020-05-07,971
United Kingdom,2020-05-08,998
United Kingdom,2020-05-09,1002
United Kingdom,2020-05-10,1003
United Kingdom,2020-05-11,1016
United Kingdom,2020-05-12,1024
United Kingdom,2020-05-13,1033
United Kingdom,2020-05-14,1044
United Kingdom,2020-05-15,1048
United Kingdom,2020-05-16,1059
United Kingdom,2020-05-17,1059
United Kingdom,2020-05-18,1091
United Kingdom,2020-05-19,1100
United Kingdom,2020-05-20,1117
United Kingdom,2020-05-21,1135
United Kingdom,2020-05-22,1143
United Kingdom,2020-05-23,1150
United Kingdom,2020-05-24,1152
United Kingdom,2020-05-25,1162
United Kingdom,2020-05-26,1162
United Kingdom,2020-05-27,1167
United Kingdom,2020-05-28,1168
United Kingdom,2020-05-29,1173
United Kingdom,2020-05-30,1188
United Kingdom,2020-05-31,1191
United Kingdom,2020-06-01,1222
United Kingdom,2020-06-02,1225
United Kingdom,2020-06-03,1213
United Kingdom,2020-06-04,1220
United Kingdom,2020-06-05,1229
United Kingdom,2020-06-06,1231
United Kingdom,2020-06-07,1240
United Kingdom,2020-06-08,1256
United Kingdom,2020-06-09,1258
United Kingdom,2020-06-10,1270
United Kingdom,2020-06-11,1279
United Kingdom,2020-06-12,1283
United Kingdom,2020-06-13,1284
United Kingdom,2020-06-14,1284
United Kingdom,2020-06-15,1285
United Kingdom,2020-06-16,1294
United Kingdom,2020-06-17,1305
United Kingdom,2020-06-18,1314
United Kingdom,2020-06-19,1320
United Kingdom,2020-06-20,1320
United Kingdom,2020-06-21,1320
United Kingdom,2020-06-22,1323
United Kingdom,2020-06-23,1331
United Kingdom,2020-06-24,1346
United Kingdom,2020-06-25,1362
United Kingdom,2020-06-26,1364
United Kingdom,2020-06-27,1365
China,2020-01-22,29
China,2020-01-23,31
China,2020-01-24,37
China,2020-01-25,40
China,2020-01-26,50
China,2020-01-27,59
China,2020-01-28,102
China,2020-01-29,121
China,2020-01-30,136
China,2020-01-31,215
China,2020-02-01,276
China,2020-02-02,464
China,2020-02-03,615
China,2020-02-04,844
China,2020-02-05,1116
China,2020-02-06,1478
China,2020-02-07,2000
China,2020-02-08,2597
China,2020-02-09,3220
China,2020-02-10,3919
China,2020-02-11,4637
China,2020-02-12,5083
China,2020-02-13,6218
China,2020-02-14,7978
China,2020-02-15,9299
China,2020-02-16,10756
China,2020-02-17,12463
China,2020-02-18,14207
China,2020-02-19,15963
China,2020-02-20,18015
China,2020-02-21,18705
China,2020-02-22,22700
China,2020-02-23,23188
China,2020-02-24,25016
China,2020-02-25,27677
China,2020-02-26,30085
China,2020-02-27,32931
China,2020-02-28,36330
China,2020-02-29,39321
China,2020-03-01,42163
China,2020-03-02,44855
China,2020-03-03,47451
China,2020-03-04,50002
China,2020-03-05,52293
China,2020-03-06,53945
China,2020-03-07,55540
China,2020-03-08,57389
China,2020-03-09,58805
China,2020-03-10,60182
China,2020-03-11,61645
China,2020-03-12,62902
China,2020-03-13,64197
China,2020-03-14,65661
China,2020-03-15,67018
China,2020-03-16,67911
China,2020-03-17,68799
China,2020-03-18,69756
China,2020-03-19,70536
China,2020-03-20,71267
China,2020-03-21,71858
China,2020-03-22,72363
China,2020-03-23,72815
China,2020-03-24,73281
China,2020-03-25,73774
China,2020-03-26,74182
China,2020-03-27,74721
China,2020-03-28,75101
China,2020-03-29,75583
China,2020-03-30,75924
China,2020-03-31,76207
China,2020-04-01,76406
China,2020-04-02,76566
China,2020-04-03,76761
China,2020-04-04,76947
China,2020-04-05,77208
China,2020-04-06,77311
China,2020-04-07,77411
China,2020-04-08,77568
China,2020-04-09,77680
China,2020-04-10,77792
China,2020-04-11,77878
China,2020-04-12,77957
China,2020-04-13,78040
China,2020-04-14,78201
China,2020-04-15,78312
China,2020-04-16,78402
China,2020-04-17,77553
China,2020-04-18,77615
China,2020-04-19,77691
China,2020-04-20,77746
China,2020-04-21,77800
China,2020-04-22,77862
China,2020-04-23,77984
China,2020-04-24,78110
China,2020-04-25,78176
China,2020-04-26,78278
China,2020-04-27,78375
China,2020-04-28,78423
China,2020-04-29,78475
China,2020-04-30,78524
China,2020-05-01,78574
China,2020-05-02,78587
China,2020-05-03,78685
China,2020-05-04,78793
China,2020-05-05,78871
China,2020-05-06,78930
China,2020-05-07,78978
China,2020-05-08,78994
China,2020-05-09,79128
China,2020-05-10,79168
China,2020-05-11,79199
China,2020-05-12,79223
China,2020-05-13,79247
China,2020-05-14,79262
China,2020-05-15,79282
China,2020-05-16,79294
China,2020-05-17,79307
China,2020-05-18,79311
China,2020-05-19,79311
China,2020-05-20,79311
China,2020-05-21,79311
China,2020-05-22,79333
China,2020-05-23,79336
China,2020-05-24,79344
China,2020-05-25,79353
China,2020-05-26,79359
China,2020-05-27,79368
China,2020-05-28,79372
China,2020-05-29,79383
China,2020-05-30,79387
China,2020-05-31,79390
China,2020-06-01,79399
China,2020-06-02,79401
China,2020-06-03,79405
China,2020-06-04,79416
China,2020-06-05,79421
China,2020-06-06,79425
China,2020-06-07,79435
China,2020-06-08,79445
China,2020-06-09,79452
China,2020-06-10,79457
China,2020-06-11,79465
China,2020-06-12,79473
China,2020-06-13,79476
China,2020-06-14,79483
China,2020-06-15,79490
China,2020-06-16,79494
China,2020-06-17,79511
China,2020-06-18,79516
China,2020-06-19,79516
China,2020-06-20,79535
China,2020-06-21,79536
China,2020-06-22,79548
China,2020-06-23,79556
China,2020-06-24,79563
China,2020-06-25,79573
China,2020-06-26,79581
China,2020-06-27,79592
India,2020-01-22,1
India,2020-01-23,1
India,2020-01-24,1
India,2020-01-25,1
India,2020-01-26,1
India,2020-01-27,1
India,2020-01-28,1
India,2020-01-29,1
India,2020-01-30,1
India,2020-01-31,1
India,2020-02-01,1
India,2020-02-02,1
India,2020-02-03,1
India,2020-02-04,1
India,2020-02-05,1
India,2020-02-06,1
India,2020-02-07,1
India,2020-02-08,1
India,2020-02-09,1
India,2020-02-10,1
India,2020-02-11,1
India,2020-02-12,1
India,2020-02-13,1
India,2020-02-14,1
India,2020-02-15,1
India,2020-02-16,4
India,2020-02-17,4
India,2020-02-18,4
India,2020-02-19,4
India,2020-02-20,4
India,2020-02-21,4
India,2020-02-22,4
India,2020-02-23,4
India,2020-02-24,4
India,2020-02-25,4
India,2020-02-26,4
India,2020-02-27,4
India,2020-02-28,4
India,2020-02-29,4
India,2020-03-01,4
India,2020-03-02,4
India,2020-03-03,4
India,2020-03-04,4
India,2020-03-05,4
India,2020-03-06,4
India,2020-03-07,4
India,2020-03-08,4
India,2020-03-09,4
India,2020-03-10,5
India,2020-03-11,5
India,2020-03-12,5
India,2020-03-13,5
India,2020-03-14,5
India,2020-03-15,14
India,2020-03-16,14
India,2020-03-17,15
India,2020-03-18,15
India,2020-03-19,16
India,2020-03-20,21
India,2020-03-21,24
India,2020-03-22,28
India,2020-03-23,28
India,2020-03-24,41
India,2020-03-25,44
India,2020-03-26,46
India,2020-03-27,74
India,2020-03-28,85
India,2020-03-29,96
India,2020-03-30,103
