Country,Date,Death
Brazil,2020-06-06,36055
Brazil,2020-06-07,36531
Brazil,2020-06-08,37394
Brazil,2020-06-09,38587
Brazil,2020-06-10,39825
Brazil,2020-06-11,41093
Brazil,2020-06-12,41936
Brazil,2020-06-13,42793
Brazil,2020-06-14,43427
Brazil,2020-06-15,44191
Brazil,2020-06-16,45523
Brazil,2020-06-17,46708
Brazil,2020-06-18,47947
Brazil,2020-06-19,49119
Brazil,2020-06-20,50101
Brazil,2020-06-21,50684
Brazil,2020-06-22,51446
Brazil,2020-06-23,52852
Brazil,2020-06-24,53956
Brazil,2020-06-25,55136
Brazil,2020-06-26,56129
Brazil,2020-06-27,57160
Germany,2020-01-22,1
Germany,2020-01-23,1
Germany,2020-01-24,1
Germany,2020-01-25,1
Germany,2020-01-26,1
Germany,2020-01-27,1
Germany,2020-01-28,1
Germany,2020-01-29,1
Germany,2020-01-30,1
Germany,2020-01-31,1
Germany,2020-02-01,1
Germany,2020-02-02,1
Germany,2020-02-03,1
Germany,2020-02-04,1
Germany,2020-02-05,1
Germany,2020-02-06,1
Germany,2020-02-07,1
Germany,2020-02-08,1
Germany,2020-02-09,1
Germany,2020-02-10,1
Germany,2020-02-11,1
Germany,2020-02-12,1
Germany,2020-02-13,1
Germany,2020-02-14,1
Germany,2020-02-15,1
Germany,2020-02-16,1
Germany,2020-02-17,1
Germany,2020-02-18,1
Germany,2020-02-19,1
Germany,2020-02-20,1
Germany,2020-02-21,1
Germany,2020-02-22,1
Germany,2020-02-23,1
Germany,2020-02-24,1
Germany,2020-02-25,1
Germany,2020-02-26,1
Germany,2020-02-27,1
Germany,2020-02-28,1
Germany,2020-02-29,1
Germany,2020-03-01,1
Germany,2020-03-02,1
Germany,2020-03-03,1
Germany,2020-03-04,1
Germany,2020-03-05,1
Germany,2020-03-06,1
Germany,2020-03-07,1
Germany,2020-03-08,1
Germany,2020-03-09,3
Germany,2020-03-10,3
Germany,2020-03-11,4
Germany,2020-03-12,6
Germany,2020-03-13,6
Germany,2020-03-14,9
Germany,2020-03-15,13
Germany,2020-03-16,13
Germany,2020-03-17,13
Germany,2020-03-18,13
Germany,2020-03-19,21
Germany,2020-03-20,32
Germany,2020-03-21,48
Germany,2020-03-22,56
Germany,2020-03-23,87
Germany,2020-03-24,115
Germany,2020-03-25,150
Germany,2020-03-26,199
Germany,2020-03-27,254
Germany,2020-03-28,326
Germany,2020-03-29,390
Germany,2020-03-30,456
Germany,2020-03-31,584
Germany,2020-04-01,733
Germany,2020-04-02,873
Germany,2020-04-03,1018
Germany,2020-04-04,1159
Germany,2020-04-05,1343
Germany,2020-04-06,1435
Germany,2020-04-07,1608
Germany,2020-04-08,1862
Germany,2020-04-09,2108
Germany,2020-04-10,2374
Germany,2020-04-11,2545
Germany,2020-04-12,2674
Germany,2020-04-13,2800
Germany,2020-04-14,2970
Germany,2020-04-15,3255
Germany,2020-04-16,3570
Germany,2020-04-17,3869
Germany,2020-04-18,4111
Germany,2020-04-19,4295
Germany,2020-04-20,4405
Germany,2020-04-21,4599
Germany,2020-04-22,4880
Germany,2020-04-23,5095
Germany,2020-04-24,5322
Germany,2020-04-25,5501
Germany,2020-04-26,5641
Germany,2020-04-27,5751
Germany,2020-04-28,5914
Germany,2020-04-29,6116
Germany,2020-04-30,6289
Germany,2020-05-01,6482
Germany,2020-05-02,6576
Germany,2020-05-03,6650
Germany,2020-05-04,6693
Germany,2020-05-05,6832
Germany,2020-05-06,6997
Germany,2020-05-07,7120
Germany,2020-05-08,7267
Germany,2020-05-09,7370
Germany,2020-05-10,7396
Germany,2020-05-11,7418
Germany,2020-05-12,7534
Germany,2020-05-13,7635
Germany,2020-05-14,7724
Germany,2020-05-15,7825
Germany,2020-05-16,7882
Germany,2020-05-17,7915
Germany,2020-05-18,7936
Germany,2020-05-19,8008
Germany,2020-05-20,8091
Germany,2020-05-21,8148
Germany,2020-05-22,8175
Germany,2020-05-23,8217
Germany,2020-05-24,8248
Germany,2020-05-25,8258
Germany,2020-05-26,8303
Germany,2020-05-27,8350
Germany,2020-05-28,8412
Germany,2020-05-29,8451
Germany,2020-05-30,8490
Germany,2020-05-31,8501
Germany,2020-06-01,8512
Germany,2020-06-02,8523
Germany,2020-06-03,8552
Germany,2020-06-04,8582
Germany,2020-06-05,8614
Germany,2020-06-06,8647
Germany,2020-06-07,8669
Germany,2020-06-08,8675
Germany,2020-06-09,8712
Germany,2020-06-10,8730
Germany,2020-06-11,8756
Germany,2020-06-12,8764
Germany,2020-06-13,8782
Germany,2020-06-14,8788
Germany,2020-06-15,8792
Germany,2020-06-16,8801
Germany,2020-06-17,8831
Germany,2020-06-18,8857
Germany,2020-06-19,8873
Germany,2020-06-20,8884
Germany,2020-06-21,8883
Germany,2020-06-22,8886
Germany,2020-06-23,8896
Germany,2020-06-24,8915
Germany,2020-06-25,8928
Germany,2020-06-26,8949
Germany,2020-06-27,8955
Italy,2020-01-22,1
Italy,2020-01-23,1
Italy,2020-01-24,1
Italy,2020-01-25,1
Italy,2020-01-26,1
Italy,2020-01-27,1
Italy,2020-01-28,1
Italy,2020-01-29,1
Italy,2020-01-30,1
Italy,2020-01-31,1
Italy,2020-02-01,1
Italy,2020-02-02,1
Italy,2020-02-03,1
Italy,2020-02-04,1
Italy,2020-02-05,1
Italy,2020-02-06,1
Italy,2020-02-07,1
Italy,2020-02-08,1
Italy,2020-02-09,1
Italy,2020-02-10,1
Italy,2020-02-11,1
Italy,2020-02-12,1
Italy,2020-02-13,1
Italy,2020-02-14,1
Italy,2020-02-15,1
Italy,2020-02-16,1
Italy,2020-02-17,1
Italy,2020-02-18,1
Italy,2020-02-19,1
Italy,2020-02-20,1
Italy,2020-02-21,2
Italy,2020-02-22,3
Italy,2020-02-23,4
Italy,2020-02-24,8
Italy,2020-02-25,11
Italy,2020-02-26,13
Italy,2020-02-27,18
Italy,2020-02-28,22
Italy,2020-02-29,30
Italy,2020-03-01,35
Italy,2020-03-02,53
Italy,2020-03-03,80
Italy,2020-03-04,108
Italy,2020-03-05,149
Italy,2020-03-06,198
Italy,2020-03-07,234
Italy,2020-03-08,367
Italy,2020-03-09,464
Italy,2020-03-10,632
Italy,2020-03-11,828
Italy,2020-03-12,1017
Italy,2020-03-13,1267
Italy,2020-03-14,1442
Italy,2020-03-15,1810
Italy,2020-03-16,2159
Italy,2020-03-17,2504
Italy,2020-03-18,2979
Italy,2020-03-19,3406
Italy,2020-03-20,4033
Italy,2020-03-21,4826
Italy,2020-03-22,5477
Italy,2020-03-23,6078
Italy,2020-03-24,6821
Italy,2020-03-25,7504
Italy,2020-03-26,8216
Italy,2020-03-27,9135
Italy,2020-03-28,10024
Italy,2020-03-29,10780
Italy,2020-03-30,11592
Italy,2020-03-31,12429
Italy,2020-04-01,13156
Italy,2020-04-02,13916
Italy,2020-04-03,14682
Italy,2020-04-04,15363
Italy,2020-04-05,15888
Italy,2020-04-06,16524
Italy,2020-04-07,17128
Italy,2020-04-08,17670
Italy,2020-04-09,18280
Italy,2020-04-10,18850
Italy,2020-04-11,19469
Italy,2020-04-12,19900
Italy,2020-04-13,20466
Italy,2020-04-14,21068
Italy,2020-04-15,21646
Italy,2020-04-16,22171
Italy,2020-04-17,22746
Italy,2020-04-18,23228
Italy,2020-04-19,23661
Italy,2020-04-20,24115
Italy,2020-04-21,24649
Italy,2020-04-22,25086
Italy,2020-04-23,25550
Italy,2020-04-24,25970
Italy,2020-04-25,26385
Italy,2020-04-26,26645
Italy,2020-04-27,26978
Italy,2020-04-28,27360
Italy,2020-04-29,27683
Italy,2020-04-30,27968
Italy,2020-05-01,28237
Italy,2020-05-02,28711
Italy,2020-05-03,28885
Italy,2020-05-04,29080
Italy,2020-05-05,29316
Italy,2020-05-06,29685
Italy,2020-05-07,29959
Italy,2020-05-08,30202
Italy,2020-05-09,30396
Italy,2020-05-10,30561
Italy,2020-05-11,30740
Italy,2020-05-12,30912
Italy,2020-05-13,31107
Italy,2020-05-14,31369
Italy,2020-05-15,31611
Italy,2020-05-16,31764
Italy,2020-05-17,31909
Italy,2020-05-18,32008
Italy,2020-05-19,32170
Italy,2020-05-20,32331
Italy,2020-05-21,32487
Italy,2020-05-22,32617
Italy,2020-05-23,32736
Italy,2020-05-24,32786
Italy,2020-05-25,32878
Italy,2020-05-26,32956
Italy,2020-05-27,33073
Italy,2020-05-28,33143
Italy,2020-05-29,33230
Italy,2020-05-30,33341
Italy,2020-05-31,33416
Italy,2020-06-01,33476
Italy,2020-06-02,33531
Italy,2020-06-03,33602
Italy,2020-06-04,33690
Italy,2020-06-05,33775
Italy,2020-06-06,33847
Italy,2020-06-07,33900
Italy,2020-06-08,33965
Italy,2020-06-09,34044
Italy,2020-06-10,34115
Italy,2020-06-11,34168
Italy,2020-06-12,34224
Italy,2020-06-13,34302
Italy,2020-06-14,34346
Italy,2020-06-15,34372
Italy,2020-06-16,34406
Italy,2020-06-17,34449
Italy,2020-06-18,34515
Italy,2020-06-19,34562
Italy,2020-06-20,34611
Italy,2020-06-21,34635
Italy,2020-06-22,34658
Italy,2020-06-23,34676
Italy,2020-06-24,34645
Italy,2020-06-25,34679
Italy,2020-06-26,34709
Italy,2020-06-27,34717
Spain,2020-01-22,1
Spain,2020-01-23,1
Spain,2020-01-24,1
Spain,2020-01-25,1
Spain,2020-01-26,1
Spain,2020-01-27,1
Spain,2020-01-28,1
Spain,2020-01-29,1
Spain,2020-01-30,1
Spain,2020-01-31,1
Spain,2020-02-01,1
Spain,2020-02-02,1
Spain,2020-02-03,1
Spain,2020-02-04,1
Spain,2020-02-05,1
Spain,2020-02-06,1
Spain,2020-02-07,1
Spain,2020-02-08,1
Spain,2020-02-09,1
Spain,2020-02-10,1
Spain,2020-02-11,1
Spain,2020-02-12,1
Spain,2020-02-13,1
Spain,2020-02-14,1
Spain,2020-02-15,1
Spain,2020-02-16,1
Spain,2020-02-17,1
Spain,2020-02-18,1
Spain,2020-02-19,1
Spain,2020-02-20,1
Spain,2020-02-21,1
Spain,2020-02-22,1
Spain,2020-02-23,1
Spain,2020-02-24,1
Spain,2020-02-25,1
Spain,2020-02-26,1
Spain,2020-02-27,1
Spain,2020-02-28,1
Spain,2020-02-29,1
Spain,2020-03-01,1
Spain,2020-03-02,1
Spain,2020-03-03,2
Spain,2020-03-04,3
Spain,2020-03-05,4
Spain,2020-03-06,6
Spain,2020-03-07,11
Spain,2020-03-08,18
Spain,2020-03-09,29
Spain,2020-03-10,36
Spain,2020-03-11,55
Spain,2020-03-12,56
Spain,2020-03-13,134
Spain,2020-03-14,196
Spain,2020-03-15,290
Spain,2020-03-16,343
Spain,2020-03-17,534
Spain,2020-03-18,624
Spain,2020-03-19,831
Spain,2020-03-20,1044
Spain,2020-03-21,1376
Spain,2020-03-22,1773
Spain,2020-03-23,2312
Spain,2020-03-24,2809
Spain,2020-03-25,3648
Spain,2020-03-26,4366
Spain,2020-03-27,5139
Spain,2020-03-28,5983
Spain,2020-03-29,6804
Spain,2020-03-30,7717
Spain,2020-03-31,8465
Spain,2020-04-01,9388
Spain,2020-04-02,10349
Spain,2020-04-03,11199
Spain,2020-04-04,11948
Spain,2020-04-05,12642
Spain,2020-04-06,13342
Spain,2020-04-07,14046
Spain,2020-04-08,14793
Spain,2020-04-09,15448
Spain,2020-04-10,16082
Spain,2020-04-11,16607
Spain,2020-04-12,17210
Spain,2020-04-13,17757
Spain,2020-04-14,18057
Spain,2020-04-15,18709
Spain,2020-04-16,19316
Spain,2020-04-17,20003
Spain,2020-04-18,20044
Spain,2020-04-19,20454
Spain,2020-04-20,20853
Spain,2020-04-21,21283
Spain,2020-04-22,21718
Spain,2020-04-23,22158
Spain,2020-04-24,22525
Spain,2020-04-25,22903
Spain,2020-04-26,23191
Spain,2020-04-27,23522
Spain,2020-04-28,23823
Spain,2020-04-29,24276
Spain,2020-04-30,24544
Spain,2020-05-01,24544
Spain,2020-05-02,25101
Spain,2020-05-03,25265
Spain,2020-05-04,25429
Spain,2020-05-05,25614
Spain,2020-05-06,25858
Spain,2020-05-07,26071
Spain,2020-05-08,26300
Spain,2020-05-09,26479
Spain,2020-05-10,26622
Spain,2020-05-11,26745
Spain,2020-05-12,26921
Spain,2020-05-13,27105
Spain,2020-05-14,27322
Spain,2020-05-15,27460
Spain,2020-05-16,27564
Spain,2020-05-17,27564
Spain,2020-05-18,27710
Spain,2020-05-19,27779
Spain,2020-05-20,27889
Spain,2020-05-21,27941
Spain,2020-05-22,28629
Spain,2020-05-23,28679
Spain,2020-05-24,28753
Spain,2020-05-25,26835
Spain,2020-05-26,27118
Spain,2020-05-27,27118
Spain,2020-05-28,27120
Spain,2020-05-29,27122
Spain,2020-05-30,27126
Spain,2020-05-31,27128
Spain,2020-06-01,27128
Spain,2020-06-02,27128
Spain,2020-06-03,27129
Spain,2020-06-04,27134
Spain,2020-06-05,27135
Spain,2020-06-06,27136
Spain,2020-06-07,27137
Spain,2020-06-08,27137
Spain,2020-06-09,27137
Spain,2020-06-10,27137
Spain,2020-06-11,27137
Spain,2020-06-12,27137
Spain,2020-06-13,27137
Spain,2020-06-14,27137
Spain,2020-06-15,27137
Spain,2020-06-16,27137
Spain,2020-06-17,27137
Spain,2020-06-18,27137
Spain,2020-06-19,28316
Spain,2020-06-20,28323
Spain,2020-06-21,28324
Spain,2020-06-22,28325
Spain,2020-06-23,28326
Spain,2020-06-24,28328
Spain,2020-06-25,28331
Spain,2020-06-26,28339
Spain,2020-06-27,28342
United Kingdom,2020-01-22,1
United Kingdom,2020-01-23,1
United Kingdom,2020-01-24,1
United Kingdom,2020-01-25,1
United Kingdom,2020-01-26,1
United Kingdom,2020-01-27,1
United Kingdom,2020-01-28,1
United Kingdom,2020-01-29,1
United Kingdom,2020-01-30,1
United Kingdom,2020-01-31,1
United Kingdom,2020-02-01,1
United Kingdom,2020-02-02,1
United Kingdom,2020-02-03,1
United Kingdom,2020-02-04,1
United Kingdom,2020-02-05,1
United Kingdom,2020-02-06,1
United Kingdom,2020-02-07,1
United Kingdom,2020-02-08,1
United Kingdom,2020-02-09,1
United Kingdom,2020-02-10,1
United Kingdom,2020-02-11,1
United Kingdom,2020-02-12,1
United Kingdom,2020-02-13,1
United Kingdom,2020-02-14,1
United Kingdom,2020-02-15,1
United Kingdom,2020-02-16,1
United Kingdom,2020-02-17,1
United Kingdom,2020-02-18,1
United Kingdom,2020-02-19,1
United Kingdom,2020-02-20,1
United Kingdom,2020-02-21,1
United Kingdom,2020-02-22,1
United Kingdom,2020-02-23,1
United Kingdom,2020-02-24,1
United Kingdom,2020-02-25,1
United Kingdom,2020-02-26,1
United Kingdom,2020-02-27,1
United Kingdom,2020-02-28,1
United Kingdom,2020-02-29,1
United Kingdom,2020-03-01,1
United Kingdom,2020-03-02,1
United Kingdom,2020-03-03,1
United Kingdom,2020-03-04,1
United Kingdom,2020-03-05,1
United Kingdom,2020-03-06,2
United Kingdom,2020-03-07,3
United Kingdom,2020-03-08,3
United Kingdom,2020-03-09,4
United Kingdom,2020-03-10,8
United Kingdom,2020-03-11,8
United Kingdom,2020-03-12,10
United Kingdom,2020-03-13,11
United Kingdom,2020-03-14,30
United Kingdom,2020-03-15,44
United Kingdom,2020-03-16,67
United Kingdom,2020-03-17,84
United Kingdom,2020-03-18,119
United Kingdom,2020-03-19,165
United Kingdom,2020-03-20,197
United Kingdom,2020-03-21,255
United Kingdom,2020-03-22,290
United Kingdom,2020-03-23,366
United Kingdom,2020-03-24,514
United Kingdom,2020-03-25,705
United Kingdom,2020-03-26,886
United Kingdom,2020-03-27,1175
United Kingdom,2020-03-28,1467
United Kingdom,2020-03-29,1679
United Kingdom,2020-03-30,2055
United Kingdom,2020-03-31,2458
United Kingdom,2020-04-01,3131
United Kingdom,2020-04-02,3788
United Kingdom,2020-04-03,4525
United Kingdom,2020-04-04,5282
United Kingdom,2020-04-05,5884
United Kingdom,2020-04-06,6453
United Kingdom,2020-04-07,7560
United Kingdom,2020-04-08,8591
United Kingdom,2020-04-09,9710
United Kingdom,2020-04-10,10833
United Kingdom,2020-04-11,11678
United Kingdom,2020-04-12,12335
United Kingdom,2020-04-13,13061
United Kingdom,2020-04-14,14138
United Kingdom,2020-04-15,15020
United Kingdom,2020-04-16,16060
United Kingdom,2020-04-17,16974
United Kingdom,2020-04-18,18084
United Kingdom,2020-04-19,18518
United Kingdom,2020-04-20,19092
United Kingdom,2020-04-21,20316
United Kingdom,2020-04-22,21172
United Kingdom,2020-04-23,21855
United Kingdom,2020-04-24,22873
United Kingdom,2020-04-25,23690
United Kingdom,2020-04-26,24054
United Kingdom,2020-04-27,24377
United Kingdom,2020-04-28,25347
United Kingdom,2020-04-29,26116
United Kingdom,2020-04-30,26751
United Kingdom,2020-05-01,27450
United Kingdom,2020-05-02,28037
United Kingdom,2020-05-03,28291
United Kingdom,2020-05-04,28565
United Kingdom,2020-05-05,29291
United Kingdom,2020-05-06,29938
United Kingdom,2020-05-07,30396
United Kingdom,2020-05-08,30976
United Kingdom,2020-05-09,31251
United Kingdom,2020-05-10,31468
United Kingdom,2020-05-11,31656
United Kingdom,2020-05-12,32271
United Kingdom,2020-05-13,32718
United Kingdom,2020-05-14,33072
United Kingdom,2020-05-15,33423
United Kingdom,2020-05-16,33834
United Kingdom,2020-05-17,33901
United Kingdom,2020-05-18,34047
United Kingdom,2020-05-19,34547
United Kingdom,2020-05-20,34875
United Kingdom,2020-05-21,35149
United Kingdom,2020-05-22,35441
United Kingdom,2020-05-23,35661
United Kingdom,2020-05-24,36040
United Kingdom,2020-05-25,36144
United Kingdom,2020-05-26,36275
United Kingdom,2020-05-27,36697
United Kingdom,2020-05-28,37040
United Kingdom,2020-05-29,37314
United Kingdom,2020-05-30,37468
United Kingdom,2020-05-31,37528
United Kingdom,2020-06-01,37614
United Kingdom,2020-06-02,37863
United Kingdom,2020-06-03,38117
United Kingdom,2020-06-04,38248
United Kingdom,2020-06-05,38506
United Kingdom,2020-06-06,38649
United Kingdom,2020-06-07,38703
United Kingdom,2020-06-08,38750
United Kingdom,2020-06-09,38945
United Kingdom,2020-06-10,39109
United Kingdom,2020-06-11,39185
United Kingdom,2020-06-12,39316
United Kingdom,2020-06-13,39423
United Kingdom,2020-06-14,39450
United Kingdom,2020-06-15,39479
United Kingdom,2020-06-16,39599
United Kingdom,2020-06-17,39709
United Kingdom,2020-06-18,39776
United Kingdom,2020-06-19,39860
United Kingdom,2020-06-20,39931
United Kingdom,2020-06-21,39963
United Kingdom,2020-06-22,39977
United Kingdom,2020-06-23,40071
United Kingdom,2020-06-24,40158
United Kingdom,2020-06-25,40257
United Kingdom,2020-06-26,40334
United Kingdom,2020-06-27,40374
China,2020-01-22,18
China,2020-01-23,19
China,2020-01-24,27
China,2020-01-25,43
China,2020-01-26,57
China,2020-01-27,83
China,2020-01-28,132
China,2020-01-29,134
China,2020-01-30,172
China,2020-01-31,214
China,2020-02-01,260
China,2020-02-02,362
China,2020-02-03,426
China,2020-02-04,492
China,2020-02-05,564
China,2020-02-06,634
China,2020-02-07,719
China,2020-02-08,806
China,2020-02-09,906
China,2020-02-10,1013
China,2020-02-11,1113
China,2020-02-12,1118
China,2020-02-13,1370
China,2020-02-14,1522
China,2020-02-15,1664
China,2020-02-16,1767
China,2020-02-17,1865
China,2020-02-18,2004
China,2020-02-19,2117
China,2020-02-20,2239
China,2020-02-21,2239
China,2020-02-22,2444
China,2020-02-23,2446
China,2020-02-24,2596
China,2020-02-25,2666
China,2020-02-26,2718
China,2020-02-27,2747
China,2020-02-28,2791
China,2020-02-29,2838
China,2020-03-01,2873
China,2020-03-02,2915
China,2020-03-03,2948
China,2020-03-04,2984
China,2020-03-05,3016
China,2020-03-06,3045
China,2020-03-07,3073
China,2020-03-08,3101
China,2020-03-09,3124
China,2020-03-10,3140
China,2020-03-11,3162
China,2020-03-12,3173
China,2020-03-13,3181
China,2020-03-14,3194
China,2020-03-15,3204
China,2020-03-16,3218
China,2020-03-17,3231
China,2020-03-18,3242
China,2020-03-19,3250
China,2020-03-20,3254
China,2020-03-21,3260
China,2020-03-22,3275
China,2020-03-23,3275
China,2020-03-24,3282
China,2020-03-25,3286
China,2020-03-26,3292
China,2020-03-27,3297
China,2020-03-28,3300
China,2020-03-29,3305
China,2020-03-30,3309
China,2020-03-31,3310
China,2020-04-01,3317
China,2020-04-02,3323
China,2020-04-03,3327
China,2020-04-04,3331
China,2020-04-05,3334
China,2020-04-06,3336
China,2020-04-07,3336
China,2020-04-08,3338
China,2020-04-09,3340
China,2020-04-10,3341
China,2020-04-11,3344
China,2020-04-12,3344
China,2020-04-13,3346
China,2020-04-14,3346
China,2020-04-15,3347
China,2020-04-16,3347
China,2020-04-17,4637
China,2020-04-18,4637
China,2020-04-19,4637
China,2020-04-20,4637
China,2020-04-21,4637
China,2020-04-22,4637
China,2020-04-23,4637
China,2020-04-24,4637
China,2020-04-25,4637
China,2020-04-26,4638
China,2020-04-27,4638
China,2020-04-28,4638
China,2020-04-29,4638
China,2020-04-30,4638
China,2020-05-01,4638
China,2020-05-02,4638
China,2020-05-03,4638
China,2020-05-04,4638
China,2020-05-05,4638
China,2020-05-06,4638
China,2020-05-07,4638
China,2020-05-08,4638
China,2020-05-09,4638
China,2020-05-10,4638
China,2020-05-11,4638
China,2020-05-12,4638
China,2020-05-13,4638
China,2020-05-14,4638
China,2020-05-15,4638
China,2020-05-16,4639
China,2020-05-17,4639
China,2020-05-18,4639
China,2020-05-19,4639
China,2020-05-20,4639
China,2020-05-21,4639
China,2020-05-22,4639
China,2020-05-23,4639
China,2020-05-24,4639
China,2020-05-25,4639
China,2020-05-26,4639
China,2020-05-27,4639
China,2020-05-28,4639
China,2020-05-29,4639
China,2020-05-30,4639
China,2020-05-31,4639
China,2020-06-01,4639
China,2020-06-02,4639
China,2020-06-03,4639
China,2020-06-04,4639
China,2020-06-05,4639
China,2020-06-06,4639
China,2020-06-07,4639
China,2020-06-08,4639
China,2020-06-09,4639
China,2020-06-10,4639
China,2020-06-11,4639
China,2020-06-12,4639
China,2020-06-13,4639
China,2020-06-14,4639
China,2020-06-15,4639
China,2020-06-16,4639
China,2020-06-17,4639
China,2020-06-18,4639
China,2020-06-19,4639
China,2020-06-20,4639
China,2020-06-21,4640
China,2020-06-22,4640
China,2020-06-23,4641
China,2020-06-24,4641
China,2020-06-25,4642
China,2020-06-26,4642
China,2020-06-27,4642
India,2020-01-22,1
India,2020-01-23,1
India,2020-01-24,1
India,2020-01-25,1
India,2020-01-26,1
India,2020-01-27,1
India,2020-01-28,1
India,2020-01-29,1
India,2020-01-30,1
India,2020-01-31,1
India,2020-02-01,1
India,2020-02-02,1
India,2020-02-03,1
India,2020-02-04,1
India,2020-02-05,1
India,2020-02-06,1
India,2020-02-07,1
India,2020-02-08,1
India,2020-02-09,1
India,2020-02-10,1
India,2020-02-11,1
India,2020-02-12,1
India,2020-02-13,1
India,2020-02-14,1
India,2020-02-15,1
India,2020-02-16,1
India,2020-02-17,1
India,2020-02-18,1
India,2020-02-19,1
India,2020-02-20,1
India,2020-02-21,1
India,2020-02-22,1
India,2020-02-23,1
India,2020-02-24,1
India,2020-02-25,1
India,2020-02-26,1
India,2020-02-27,1
India,2020-02-28,1
India,2020-02-29,1
India,2020-03-01,1
India,2020-03-02,1
India,2020-03-03,1
India,2020-03-04,1
India,2020-03-05,1
India,2020-03-06,1
India,2020-03-07,1
India,2020-03-08,1
India,2020-03-09,1
India,2020-03-10,1
India,2020-03-11,2
India,2020-03-12,2
India,2020-03-13,3
India,2020-03-14,3
India,2020-03-15,3
India,2020-03-16,3
India,2020-03-17,4
India,2020-03-18,4
India,2020-03-19,5
India,2020-03-20,6
India,2020-03-21,5
India,2020-03-22,8
India,2020-03-23,11
India,2020-03-24,11
India,2020-03-25,13
India,2020-03-26,21
India,2020-03-27,21
India,2020-03-28,25
